"","Player","Teams","Maps","Rounds","K.D.Diff","K.D","Rating2.0"
"106","Forester",NA,437,11493,765,1.1,1.11
"107","jedqr",NA,315,8647,432,1.08,1.11
"108","Jonji",NA,168,4298,-148,0.95,1.11
"109","afro",NA,343,9071,789,1.14,1.11
"110","pz",NA,169,4398,330,1.12,1.11
"111","b1t",NA,176,4676,401,1.14,1.11
"112","mou",NA,196,5223,492,1.15,1.11
"113","PlesseN",NA,275,7390,210,1.04,1.11
"114","CRUC1AL",NA,308,8283,660,1.13,1.1
"115","JDC",NA,147,3878,301,1.12,1.1
"116","flameZ",NA,144,3904,123,1.05,1.1
"117","FASHR",NA,364,9655,373,1.06,1.1
"118","juanflatroo",NA,254,6750,170,1.03,1.1
"119","HexT",NA,262,6946,232,1.05,1.1
"120","Raijin",NA,142,3962,250,1.1,1.1
"121","DeStiNy",NA,195,5181,110,1.03,1.1
"122","SHiPZ",NA,474,12839,502,1.06,1.1
"123","WolfY",NA,259,6854,696,1.17,1.1
"124","cxzi",NA,209,5425,123,1.03,1.1
"125","nicoodoz",NA,421,11350,1082,1.16,1.1
"126","malbsMd",NA,212,5478,135,1.03,1.1
"127","chawzyyy",NA,275,7357,443,1.09,1.1
"128","fame",NA,291,7773,480,1.1,1.1
"129","CLASIA",NA,161,4210,197,1.07,1.1
"130","PANIX",NA,148,3892,205,1.08,1.1
"131","byr9",NA,211,5756,103,1.03,1.1
"132","syrsoN",NA,240,6434,519,1.13,1.09
"133","Liki",NA,205,5165,171,1.05,1.09
"134","ritchiEE",NA,181,4814,284,1.09,1.09
"135","Roflko",NA,145,3774,223,1.09,1.09
"136","clax",NA,152,3928,302,1.12,1.09
"137","REZ",NA,193,5106,216,1.06,1.09
"138","ap0c",NA,148,3754,32,1.01,1.09
"139","hardzao",NA,237,6245,496,1.13,1.09
"140","WOOD7",NA,219,5648,342,1.1,1.09
"141","f0rest",NA,249,6877,439,1.1,1.09
"142","exit",NA,142,3663,278,1.13,1.09
"143","robiin",NA,209,5548,79,1.02,1.09
"144","Lucky",NA,343,9071,446,1.08,1.09
"145","Rainwaker",NA,451,12217,752,1.1,1.09
"146","ADDICT",NA,169,4398,291,1.11,1.09
"147","FREDDyFROG",NA,193,5167,366,1.11,1.09
"148","Snax",NA,248,6602,386,1.09,1.09
"149","latto",NA,152,4011,138,1.05,1.09
"150","kai",NA,146,3826,168,1.07,1.09
"151","dycha",NA,201,5287,80,1.02,1.09
"152","STOMP",NA,199,5364,339,1.1,1.08
"153","djay",NA,235,6093,257,1.06,1.08
"154","cadiaN",NA,155,4207,277,1.11,1.08
"155","DemQQ",NA,156,4122,95,1.03,1.08
"156","JUST",NA,272,7190,317,1.07,1.08
"157","jL",NA,190,5067,278,1.08,1.08
"158","Danejoris",NA,145,3804,139,1.06,1.08
"159","Thomas",NA,218,5892,6,1,1.08
"160","Lekr0",NA,255,7048,182,1.04,1.08
"161","bodyy",NA,343,9071,29,1,1.08
"162","hallzerk",NA,255,7048,411,1.09,1.08
"163","F1KU",NA,304,8257,216,1.04,1.08
"164","gxx-",NA,274,7291,698,1.16,1.08
"165","mopoz",NA,258,6817,148,1.03,1.08
"166","tabseN",NA,240,6434,-19,1,1.08
"167","ZOREE",NA,223,5950,584,1.16,1.08
"168","Jerry",NA,327,8824,82,1.01,1.08
"169","SaVage",NA,203,5109,324,1.11,1.08
"170","HEAP",NA,255,7048,206,1.04,1.07
"171","TeSeS",NA,155,4207,94,1.03,1.07
"172","alex",NA,258,6817,238,1.05,1.07
"173","NEKIZ",NA,237,6245,136,1.03,1.07
"174","paz",NA,184,4959,234,1.07,1.07
"175","mar",NA,283,7509,175,1.04,1.07
"176","lauNX",NA,148,3867,97,1.04,1.07
"177","dennis",NA,199,5325,145,1.04,1.07
"178","motm",NA,188,5063,81,1.02,1.07
"179","b0denmaster",NA,154,4087,144,1.05,1.07
"180","Nodios",NA,190,5191,139,1.04,1.07
"181","uli",NA,206,5606,115,1.03,1.07
"182","Markos",NA,209,5748,384,1.11,1.07
"183","phzy",NA,352,9419,559,1.1,1.07
"184","NOPEEJ",NA,152,4079,178,1.07,1.06
"185","MATYS",NA,172,4630,78,1.02,1.06
"186","jabbi",NA,422,11375,429,1.06,1.06
"187","szejn",NA,244,6420,118,1.03,1.06
"188","KENSI",NA,327,8824,387,1.07,1.06
"189","STYKO",NA,144,3850,160,1.07,1.06
"190","siuhy",NA,245,6442,7,1,1.06
"191","kreaz",NA,261,7005,210,1.05,1.06
"192","Daffu",NA,313,8348,281,1.05,1.06
"193","RuStY",NA,302,8215,291,1.06,1.06
"194","jeorgesnorts",NA,148,3801,-1,1,1.06
"195","Zyphon",NA,302,8044,147,1.03,1.06
"196","SHOCK",NA,327,8773,305,1.05,1.06
"197","SIXER",NA,287,7563,361,1.08,1.06
"198","dukefissura",NA,311,8360,-65,0.99,1.06
"199","sjuush",NA,155,4207,102,1.04,1.06
"200","Keoz",NA,281,7397,-263,0.95,1.06
"201","nafany",NA,236,6192,-162,0.96,1.06
"202","jitter",NA,167,4479,-70,0.98,1.06
"203","smiley",NA,323,8691,288,1.05,1.05
"204","rmn",NA,272,7190,88,1.02,1.05
"205","eraa",NA,310,8414,378,1.07,1.05
"206","hampus",NA,193,5114,-87,0.98,1.05
"207","Djoko",NA,343,9071,24,1,1.05
"208","stadodo",NA,272,7190,34,1.01,1.05
"209","magixx",NA,183,4728,42,1.01,1.05
"210","kyxsan",NA,160,4314,-64,0.98,1.05
"211","shokz",NA,300,7963,112,1.02,1.05
"212","sausol",NA,183,4908,113,1.03,1.05
"213","bq",NA,141,3730,-22,0.99,1.05
"214","Jyo",NA,289,7639,47,1.01,1.05
"215","raalz",NA,359,9768,64,1.01,1.05
"216","v1c7oR",NA,291,7656,-190,0.96,1.05
"217","DeathZz",NA,187,4991,93,1.03,1.05
"218","Sapec",NA,319,8521,-310,0.95,1.05
"219","Krad",NA,447,11777,-10,1,1.05
"220","JT",NA,293,7666,-166,0.97,1.05
"221","b4rtiN",NA,152,4011,118,1.05,1.04
"222","arT",NA,159,4243,-186,0.94,1.04
"223","SLIGHT",NA,178,4585,146,1.05,1.04
"224","Polt",NA,275,7367,46,1.01,1.04
"225","sdy",NA,178,4611,98,1.03,1.04
"226","MUTiRiS",NA,272,7190,-39,0.99,1.04
"227","Spongey",NA,244,6276,310,1.08,1.04
"228","X5G7V",NA,173,4647,75,1.02,1.04
"229","sinnopsyy",NA,274,7291,-166,0.97,1.04
"230","Leomonster",NA,171,4522,-206,0.94,1.04
"231","Lucky",NA,217,5836,227,1.06,1.04
"232","boX",NA,291,7708,-307,0.94,1.04
"233","viz",NA,207,5395,-60,0.98,1.04
"234","J1rah",NA,161,4177,8,1,1.04
"235","MAJ3R",NA,184,4959,-6,1,1.04
"236","Smash",NA,211,5756,-19,1,1.04
"237","twist",NA,210,5681,-197,0.95,1.04
"238","maNkz",NA,413,11084,-122,0.98,1.04
"239","BRACE",NA,167,4356,18,1.01,1.04
"240","rain",NA,146,3949,-152,0.94,1.03
"241","Spargo",NA,206,5606,196,1.05,1.03
"242","BIT",NA,158,4157,-144,0.95,1.03
"243","almazer",NA,224,6028,-46,0.99,1.03
"244","Mann3n",NA,197,5266,-38,0.99,1.03
"245","walker",NA,176,4516,115,1.04,1.03
"246","Twixie",NA,204,5559,-22,0.99,1.03
"247","jks",NA,141,3770,26,1.01,1.03
"248","NickelBack",NA,440,11588,-190,0.97,1.03
"249","s1ren",NA,142,3776,-51,0.98,1.03
"250","nilo",NA,207,5562,91,1.02,1.03
"251","RAiLWAY",NA,146,4000,-112,0.96,1.03
"252","isak",NA,332,8945,52,1.01,1.03
"253","sLowi",NA,239,6404,-109,0.98,1.03
"254","refrezh",NA,155,4207,79,1.03,1.03
"255","wiz",NA,260,6895,112,1.03,1.03
"256","aidKiT",NA,161,4348,35,1.01,1.03
"257","TMB",NA,213,5703,-281,0.93,1.03
"258","chop",NA,262,6946,41,1.01,1.03
"259","Walco",NA,256,6793,-191,0.96,1.02
"260","Perfecto",NA,186,4948,70,1.02,1.02
"261","misutaaa",NA,163,4296,-59,0.98,1.02
"262","The eLiVe",NA,199,5338,-112,0.97,1.02
"263","Lack1",NA,439,11562,-69,0.99,1.02
"264","AcilioN",NA,274,7429,-380,0.93,1.02
"265","fostar",NA,173,4661,-96,0.97,1.02
"266","Norwi",NA,244,6437,-7,1,1.02
"267","rox",NA,162,4285,-65,0.98,1.02
"268","HS",NA,148,4058,-150,0.95,1.02
"269","xns",NA,201,5218,-191,0.95,1.02
"270","j3kie",NA,160,4261,-40,0.99,1.02
"271","matty",NA,186,4941,-233,0.93,1.02
"272","facecrack",NA,154,4169,-119,0.96,1.02
"273","Calyx",NA,182,4734,75,1.03,1.02
"274","Qikert",NA,179,4856,-77,0.98,1.02
"275","innocent",NA,274,7360,-129,0.97,1.02
"276","Ravenlot",NA,195,5179,47,1.01,1.02
"277","Stev0se",NA,187,4971,-54,0.98,1.01
"278","uQlutzavr",NA,167,4524,-145,0.95,1.01
"279","AMANEK",NA,172,4662,15,1.01,1.01
"280","apEX",NA,163,4296,-183,0.94,1.01
"281","VINI",NA,144,3874,-59,0.98,1.01
"282","Grusarn",NA,231,6270,-318,0.93,1.01
"283","prosus",NA,176,4714,-182,0.95,1.01
"284","larsen",NA,154,4096,-39,0.99,1.01
"285","DavCost",NA,216,5900,13,1,1.01
"286","KalubeR",NA,167,4535,-102,0.97,1.01
"287","leman",NA,206,5569,-38,0.99,1.01
"288","PKL",NA,237,6245,-253,0.94,1.01
"289","nosraC",NA,153,4065,-161,0.94,1.01
"290","buster",NA,179,4856,43,1.01,1.01
"291","Surreal",NA,308,8283,-231,0.96,1.01
"292","oxygeN",NA,285,7640,-202,0.96,1.01
"293","Kylar",NA,247,6600,17,1,1.01
"294","shellzi",NA,164,4397,-207,0.93,1.01
"295","J3nsyy",NA,164,4438,45,1.02,1.01
"296","Relaxa",NA,196,5252,0,1,1.01
